id,symbol,autoDeposit,maintMarginReq,riskLimit,realLeverage,crossMode,delevPercentage,openingTimestamp,currentTimestamp,currentQty,currentCost,currentComm,unrealisedCost,realisedGrossCost,realisedCost,isOpen,markPrice,markValue,posCost,posCross,posInit,posComm,posLoss,posMargin,posMaint,maintMargin,realisedGrossPnl,realisedPnl,unrealisedPnl,unrealisedPnlPcnt,unrealisedRoePcnt,entryPrice,liquidationPrice,bankruptPrice,settleCurrency,isInverse,exitPrice,totalProfit,maxProfit,bot
1641689998500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24685.68,24685.68,0.5907643708419088,-1,41786.0,31786.0,-1,USDT,False,42083.0,0.5215269596364365,0.5907643708419088,JesusLong
1641709798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41796.0,31796.0,-1,USDT,False,-1,0,-1000,JesusLong
1641709798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3815.5199999999995,-3815.5199999999995,-0.09128911857594027,-1,41796.0,31796.0,-1,USDT,False,41808.0,0.43023784106049623,0.1264350655565126,JesusLong
1641718798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41666.0,31666.0,-1,USDT,False,-1,0,-1000,JesusLong
1641718798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1599.9199999999998,-1599.9199999999998,-0.03839869437911006,-1,41666.0,31666.0,-1,USDT,False,41700.0,0.3918391466813862,-0.03839869437911006,JesusLong
1641728698500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41781.0,51781.0,-1,USDT,False,-1,0,-1000,JesusShort
1641728698500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14186.28,14186.28,0.33953902491563154,-1,41781.0,51781.0,-1,USDT,False,41589.0,0.7313781715970178,0.3419324573370671,JesusShort
1641738598500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41607.0,31607.0,-1,USDT,False,-1,0,-1000,JesusLong
1641738598500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11292.84,-11292.84,-0.27141682889898333,-1,41607.0,31607.0,-1,USDT,False,41544.0,0.45996134269803446,0.13236138149830556,JesusLong
1641749398500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42000.0,52000.0,-1,USDT,False,-1,0,-1000,JesusShort
1641749398500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-12440.000000000002,-12440.000000000002,-0.2961904761904762,-1,42000.0,52000.0,-1,USDT,False,42074.0,0.16377086650755823,-0.010476190476190472,JesusShort
